"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01 10:40:28.000,yandex,cpc,prof-frontend,1158,637843,1158,1158,275592420
2023-06-01 17:47:00.000,yandex,cpc,prof-frontend,1158,637843,1158,1158,131463108
2023-06-01 19:39:00.000,yandex,cpc,prof-frontend,220,121756,220,220,36877500
2023-06-01 14:22:00.000,yandex,cpc,prof-java,435,237694,435,435,34859160
2023-06-01 15:46:00.000,yandex,cpc,prof-data-analytics,230,131902,230,230,33176120
2023-06-01 13:11:00.000,yandex,cpc,prof-python,186,105443,186,169,10157238
2023-06-01 10:44:00.000,yandex,cpc,freemium,48,23556,48,48,9071568
2023-06-01 14:57:00.000,yandex,cpc,prof-frontend,46,25884,46,46,8294076
2023-06-01 05:51:00.000,vk,cpc,freemium-python,61,21995,61,61,8180100
2023-06-01 10:54:00.000,yandex,cpc,freemium,60,29803,60,60,8046000
2023-06-01 08:33:02.000,yandex,cpc,prof-python,55,33109,55,55,7375500
2023-06-01 04:58:00.000,vk,cpc,freemium-frontend,38,8442,38,38,7189980
2023-06-01 18:42:00.000,yandex,cpc,prof-python,55,33120,55,55,6929725
2023-06-01 04:05:00.000,vk,cpc,freemium-python,122,43990,122,61,6925086
2023-06-01 09:21:00.000,yandex,cpc,prof-java,56,30290,56,56,6731424
